Neuron_class,Ach_in,Ach_out,acc-1,lgc-47,acc-2,lgc-49,lgc-46,acc-3,acc-4,lgc-41,lgc-42,ggr-1,ggr-2,lgc-40,lgc-39,lgc-43,lgc-44,lgc-45,lgc-48
ADA,6,0,0,0,0,0,30.05406375,24.05326411,0,33.86788657,5.764171954,340.9465471,0,0,0,0,0,0,0
ADE,6,0,0,240.2328129,0,74.66167948,0,0,0,0,0,0,450.7437079,0,0,0,0,0,0
ADF,16,338,0,323.3419457,0,12.94994588,43.79557191,56.79752669,0,0,0,0,0,0,111.0094,0,0,0,0
ADL,3,0,0,28.9712687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFD,11,0,0,0,0,20.42894128,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,3,190,0,0,0,0,5.001493338,0,147.1326,0,0,0,0,0,0,0,0,0,0
AIB,40,0,499.5127,825.2059578,29.85788,123.2210154,0,0,0,0,0,392.7543498,0,0,0,0,0,0,0
AIM,2,0,0,28.50346939,145.4334,0,6.531859878,0,0,0,0,11.01300441,0,0,17.16379,0,0,0,0
AIN,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIY,1,393,0,0,0,0,97.73745292,0,11.61393,0,0,0,0,0,0,10.64431,0,0,0
AIZ,84,0,0,0,403.6538,30.37176982,111.5444576,0,0,9.18389179,0,0,0,0,0,0,0,0,0
ALA,0,0,0,0,0,0,0,245.2843128,0,0,0,0,0,0,18.45922,0,0,0,0
ALM,3,0,0,0,0,0,0,0,16.3578,30.43796376,0,0,0,31.91174,53.54072,0,0,0,0
ALN,1,46,0,125.5322813,0,0,0,0,0,218.099496,0,0,0,0,0,0,0,0,0
AQR,8,0,30.62845,96.39673795,0,130.4447804,13.80654603,0,0,69.0864001,0,0,0,4.907776,481.664,0,0,0,0
AS,103,444,99.69358,609.2207374,0,0,205.9773281,0,185.7703,22.18217376,12.43989947,0,0,0,489.7969,0,0,0,0
ASEL,4,0,0,0,0,0,0,43.9050712,0,0,0,0,0,7.113193,0,0,0,0,0
ASER,6,0,0,0,0,0,3.571346189,0,0,9.643532963,0,0,0,0,0,0,0,0,0
ASG,5,0,0,0,0,6.659101829,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH,13,0,65.95138,123.8759962,0,0,0,0,0,21.06964386,0,0,0,0,0,0,0,0,0
ASI,0,0,0,0,0,21.57141594,0,0,0,17.82797318,0,0,0,0,0,0,0,0,0
ASJ,1,86,0,236.0023068,0,5.475392393,7.953381364,0,0,57.11928842,15.52469981,0,0,0,0,0,0,0,0
ASK,12,0,0,34.75681665,0,7.071700391,0,4.729876409,0,4.436604371,0,0,0,0,0,0,0,0,0
AUA,26,0,0,39.15763634,0,0,0,0,0,0,0,0,0,62.36221,0,0,0,0,0
AVA,229,552,41.7129,691.6486598,0,0,44.88230962,0,58.62627,0,0,0,0,0,1830.534,0,0,0,0
AVB,115,131,0,343.1537284,0,0,0,0,34.90901,0,0,0,0,0,0,0,0,0,0
AVD,38,296,0,197.1534036,0,0,27.48290989,0,108.1315,0,0,0,29.93396109,0,211.2868,0,0,0,0
AVE,53,257,0,322.1198945,0,106.6226689,220.6183864,0,67.15869,0,3.299024487,55.69297866,193.8013761,0,547.7714,0,0,0,0
AVF,13,0,0,35.86496375,0,13.87933061,17.41704085,0,0,2.128251076,0,0,0,0,0,0,0,0,0
AVG,1,67,0,0,0,0,27.66020406,0,20.58518,18.84828801,0,0,0,0,0,0,0,0,0
AVH,8,0,16.49074,76.84338533,0,0,6.719854326,0,0,0,0,19.47168934,17.55499275,0,0,0,0,0,0
AVJ,29,0,0,156.4507041,0,0,20.58345312,0,0,52.33765454,0,0,0,0,0,0,0,0,0
AVK,15,0,45.50774,0,0,0,0,0,0,0,11.72263851,0,0,0,0,0,0,0,0
AVL,15,0,0,97.4656725,0,0,0,0,0,0,0,0,0,0,206.6035,0,0,0,0
AVM,0,0,0,0,0,0,91.94664111,0,3.016565,22.60496229,0,107.3882604,0,56.03265,0,0,0,0,0
AWA,5,0,0,210.7278954,0,0,0,10.87907328,0,43.16218077,0,69.31624197,12.31354536,6.930438,0,0,0,0,0
AWB,7,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWC_OFF,7,0,0,0,0,0,0,0,0,15.26457048,0,0,0,0,0,0,0,0,0
AWC_ON,7,0,0,44.49869419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAG,12,0,0,0,0,0,7.301167746,0,0,35.23234654,0,0,0,225.3393,0,0,0,0,0
BDU,10,0,0,44.719907,0,0,9.46958708,0,0,0,6.236187367,430.009898,0,182.9774,0,0,0,0,0
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6883,308.4832,0,0,0
CEP,8,0,0,178.9832584,81.33477,53.26199343,0,32.16500223,0,33.57708942,5.325052439,0,526.3162829,0,0,0,0,0,0
DA,138,648,152.0518,170.0733663,0,0,193.4378873,0,366.2142,34.64136364,2.09266811,254.1784234,0,0,141.9336,0,0,0,0
DA9,13,90,120.5764,317.0108575,0,0,41.98778696,0,43.69094,170.5999999,21.50859268,350.1335712,80.24889991,0,88.41847,0,0,0,0
DB,58,484,161.3932,302.5084837,0,53.35244617,198.5024849,0,311.7724,144.8211499,3.879079225,492.3021221,0,0,0,0,0,0,0
DB01,1,148,211.5934,223.5311717,0,0,116.4548718,16.35324916,172.5432,117.7151387,5.273579818,353.130295,0,0,0,0,0,0,0
DVA,10,161,0,74.49957555,0,0,0,0,34.7662,0,0,0,0,0,0,0,0,0,0
DVB,0,0,0,227.0544585,0,0,7.264572874,0,13.34317,4.540831537,0.594591174,0,0,0,0,0,0,0,0
DVC,8,0,0,193.1617796,0,12.31555716,15.08078953,122.3456705,0,0,0,0,0,0,0,0,0,0,0
FLP,2,0,0,0,0,11.06659655,0,0,0,35.10870755,19.96147667,62.53781576,0,23.82353,0,0,0,0,0
HSN,16,226,0,0,16.42142,0,53.34062574,0,62.17,66.67430362,0,0,194.8924046,0,109.3418,0,0,0,0
I1,2,97,0,0,0,0,29.0586732,0,11.44232,0,0,135.157423,0,0,0,0,0,0,0
I2,2,0,0,0,0,0,0,0,0,0,0,0,22.24040987,0,326.339,0,0,0,0
I3,1,27,67.21703,142.8327352,0,0,72.5229568,0,0,0,0,0,466.4302695,502.0315,194.3366,0,0,0,0
I4,1,0,0,0,0,0,66.82007006,0,35.2425,0,0,0,0,0,0,0,0,0,0
I5,4,0,0,0,0,0,6.427828028,0,7.319506,0,3.098913307,0,0,0,0,0,0,0,0
I6,1,0,233.7907,309.2287332,0,0,0,0,0,0,0,0,0,0,339.1377,0,0,0,0
IL1,37,0,0,338.9845693,0,0,0,272.8719491,0,0,0,90.07238372,181.9560785,0,0,0,0,0,0
IL2_DV,0,457,0,284.8099631,0,0,111.5287486,0,288.8789,0,0,0,0,0,50.64976,0,0,0,0
IL2_LR,5,189,0,247.226903,147.1119,0,39.4026989,0,152.8643,0,0,0,6.485586449,46.46162,24.21204,0,0,0,0
LUA,11,0,0,340.0634013,0,113.895136,0,0,166.325,0,0,0,0,0,168.2753,0,0,0,0
M1,5,44,10.94074,0,0,0,27.11140867,0,34.75437,0,0,0,0,0,101.9997,0,0,0,0
M2,6,88,0,0,0,0,38.11525067,0,0,0,0,0,0,464.2955,0,0,0,0,0
M3,8,0,767.9274,3918.724795,0,223.6736168,30.23896001,0,113.2797,0,0,80.29763643,0,111.0061,0,0,0,0,0
M4,1,357,0,0,0,0,264.5502646,0,58.56172,0,0,0,0,0,0,0,0,0,0
M5,1,28,0,0,0,0,18.22841946,0,23.95169,0,0,0,0,0,0,0,0,0,0
MC,8,41,253.2143,246.71603,0,0,113.0367372,0,24.66595,0,20.88222448,0,0,68.8729,0,0,0,0,0
MI,0,0,344.7233,0,0,0,10.06627397,0,0,43.66750551,1.610765033,0,0,312.8683,37.35708,0,0,0,0
NSM,6,0,0,1613.360392,0,0,14.44504489,0,16.50951,0,0,0,0,0,0,0,0,0,0
