Column1,Presynaptic_cell,Postsynaptic_cell,Type,no_synapses,Neurotransmitter,Presynaptic_cell_class,Postsynaptic_cell_class
1750,ADAL,SMDVR,S,2,Glu,ADA,SMD
1766,ADAL,SMDVR,R,2,Glu,ADA,SMD
1749,ADAL,RIPL,Sp,1,Glu,ADA,RIP
1765,ADAL,RIPL,Rp,1,Glu,ADA,RIP
1748,ADAL,RIML,Sp,3,Glu,ADA,RIM
1764,ADAL,RIML,Rp,3,Glu,ADA,RIM
1747,ADAL,RICR,Sp,1,Glu,ADA,RIC
1763,ADAL,RICR,Rp,1,Glu,ADA,RIC
1745,ADAL,RICL,S,1,Glu,ADA,RIC
1746,ADAL,RICL,Sp,1,Glu,ADA,RIC
1761,ADAL,RICL,R,1,Glu,ADA,RIC
1762,ADAL,RICL,Rp,1,Glu,ADA,RIC
1744,ADAL,FLPR,Sp,1,Glu,ADA,FLP
1760,ADAL,FLPR,Rp,1,Glu,ADA,FLP
1743,ADAL,AVJR,Sp,5,Glu,ADA,AVJ
1759,ADAL,AVJR,Rp,5,Glu,ADA,AVJ
1742,ADAL,AVEL,Sp,1,Glu,ADA,AVE
1758,ADAL,AVEL,Rp,1,Glu,ADA,AVE
1741,ADAL,AVDL,Sp,1,Glu,ADA,AVD
1757,ADAL,AVDL,Rp,1,Glu,ADA,AVD
1739,ADAL,AVBR,S,2,Glu,ADA,AVB
1740,ADAL,AVBR,Sp,5,Glu,ADA,AVB
1755,ADAL,AVBR,R,2,Glu,ADA,AVB
1756,ADAL,AVBR,Rp,5,Glu,ADA,AVB
1738,ADAL,AVBL,Sp,4,Glu,ADA,AVB
1754,ADAL,AVBL,Rp,4,Glu,ADA,AVB
1737,ADAL,AVAR,Sp,2,Glu,ADA,AVA
1753,ADAL,AVAR,Rp,2,Glu,ADA,AVA
1736,ADAL,AIBR,Sp,2,Glu,ADA,AIB
1752,ADAL,AIBR,Rp,2,Glu,ADA,AIB
1735,ADAL,AIBL,S,1,Glu,ADA,AIB
1751,ADAL,AIBL,R,1,Glu,ADA,AIB
1780,ADAR,SMDVL,S,2,Glu,ADA,SMD
1794,ADAR,SMDVL,R,2,Glu,ADA,SMD
1779,ADAR,RIVR,Sp,1,Glu,ADA,RIV
1793,ADAR,RIVR,Rp,1,Glu,ADA,RIV
1778,ADAR,RIPR,Sp,1,Glu,ADA,RIP
1792,ADAR,RIPR,Rp,1,Glu,ADA,RIP
1777,ADAR,RIMR,Sp,5,Glu,ADA,RIM
1791,ADAR,RIMR,Rp,5,Glu,ADA,RIM
1776,ADAR,RICL,Sp,1,Glu,ADA,RIC
1790,ADAR,RICL,Rp,1,Glu,ADA,RIC
1774,ADAR,AVJL,S,1,Glu,ADA,AVJ
1775,ADAR,AVJL,Sp,2,Glu,ADA,AVJ
1788,ADAR,AVJL,R,1,Glu,ADA,AVJ
1789,ADAR,AVJL,Rp,2,Glu,ADA,AVJ
1773,ADAR,AVEL,Sp,1,Glu,ADA,AVE
1787,ADAR,AVEL,Rp,1,Glu,ADA,AVE
1772,ADAR,AVBR,Sp,5,Glu,ADA,AVB
1786,ADAR,AVBR,Rp,5,Glu,ADA,AVB
1770,ADAR,AVBL,S,1,Glu,ADA,AVB
1771,ADAR,AVBL,Sp,1,Glu,ADA,AVB
1784,ADAR,AVBL,R,1,Glu,ADA,AVB
1785,ADAR,AVBL,Rp,1,Glu,ADA,AVB
1769,ADAR,AVAL,Sp,1,Glu,ADA,AVA
1783,ADAR,AVAL,Rp,1,Glu,ADA,AVA
1768,ADAR,AIBR,Sp,1,Glu,ADA,AIB
1782,ADAR,AIBR,Rp,1,Glu,ADA,AIB
1767,ADAR,AIBL,Sp,1,Glu,ADA,AIB
1781,ADAR,AIBL,Rp,1,Glu,ADA,AIB
31,ADEL,URBL,Sp,1,DA,ADE,URB
63,ADEL,URBL,Rp,1,DA,ADE,URB
30,ADEL,SMBDR,Sp,1,DA,ADE,SMB
62,ADEL,SMBDR,Rp,1,DA,ADE,SMB
29,ADEL,SIBDR,Sp,1,DA,ADE,SIB
61,ADEL,SIBDR,Rp,1,DA,ADE,SIB
28,ADEL,SIADR,Sp,1,DA,ADE,SIA
60,ADEL,SIADR,Rp,1,DA,ADE,SIA
27,ADEL,RMHL,Sp,1,DA,ADE,RMH
59,ADEL,RMHL,Rp,1,DA,ADE,RMH
26,ADEL,RMGL,S,1,DA,ADE,RMG
58,ADEL,RMGL,R,1,DA,ADE,RMG
24,ADEL,RMDL,S,2,DA,ADE,RMD_LR
25,ADEL,RMDL,Sp,2,DA,ADE,RMD_LR
56,ADEL,RMDL,R,2,DA,ADE,RMD_LR
57,ADEL,RMDL,Rp,2,DA,ADE,RMD_LR
23,ADEL,RIVR,Sp,1,DA,ADE,RIV
55,ADEL,RIVR,Rp,1,DA,ADE,RIV
22,ADEL,RIVL,Sp,1,DA,ADE,RIV
54,ADEL,RIVL,Rp,1,DA,ADE,RIV
21,ADEL,RIH,Sp,2,DA,ADE,RIH
53,ADEL,RIH,Rp,2,DA,ADE,RIH
19,ADEL,RIGR,S,3,DA,ADE,RIG
20,ADEL,RIGR,Sp,3,DA,ADE,RIG
51,ADEL,RIGR,R,3,DA,ADE,RIG
52,ADEL,RIGR,Rp,3,DA,ADE,RIG
17,ADEL,RIGL,S,2,DA,ADE,RIG
18,ADEL,RIGL,Sp,3,DA,ADE,RIG
49,ADEL,RIGL,R,2,DA,ADE,RIG
50,ADEL,RIGL,Rp,3,DA,ADE,RIG
16,ADEL,RIFL,Sp,1,DA,ADE,RIF
48,ADEL,RIFL,Rp,1,DA,ADE,RIF
15,ADEL,RIAL,Sp,1,DA,ADE,RIA
47,ADEL,RIAL,Rp,1,DA,ADE,RIA
13,ADEL,OLLL,S,1,DA,ADE,OLL
14,ADEL,OLLL,Sp,1,DA,ADE,OLL
45,ADEL,OLLL,R,1,DA,ADE,OLL
46,ADEL,OLLL,Rp,1,DA,ADE,OLL
11,ADEL,IL2L,S,1,DA,ADE,IL2_LR
12,ADEL,IL2L,Sp,1,DA,ADE,IL2_LR
43,ADEL,IL2L,R,1,DA,ADE,IL2_LR
44,ADEL,IL2L,Rp,1,DA,ADE,IL2_LR
10,ADEL,IL1L,Sp,1,DA,ADE,IL1
42,ADEL,IL1L,Rp,1,DA,ADE,IL1
8,ADEL,FLPL,S,1,DA,ADE,FLP
