Column1,Presynaptic_cell,Postsynaptic_cell,Type,no_synapses,Presynaptic_cell_class,Postsynaptic_cell_class
3976,ADAR,PVQR,EJ,1,ADA,PVQ
3953,ADAL,PVQL,EJ,1,ADA,PVQ
1636,ADAL,AVDR,EJ,2,ADA,AVD
1578,ADAR,AVDL,EJ,2,ADA,AVD
917,ADAR,ASHR,EJ,1,ADA,ASH
890,ADAL,ASHL,EJ,1,ADA,ASH
147,ADAR,ADFR,EJ,1,ADA,ADF
132,ADAL,ADFL,EJ,1,ADA,ADF
29,ADAL,ADAR,EJ,1,ADA,ADA
0,ADAR,ADAL,EJ,1,ADA,ADA
2117,ADEL,AVKR,EJ,1,ADE,AVK
2075,ADER,AVKL,EJ,1,ADE,AVK
467,ADEL,AINL,EJ,1,ADE,AIN
287,ADFR,AIAR,EJ,1,ADF,AIA
30,ADFR,ADAR,EJ,1,ADF,ADA
1,ADFL,ADAL,EJ,1,ADF,ADA
5054,ADLL,RMGL,EJ,1,ADL,RMG
3403,ADLL,OLQVL,EJ,1,ADL,OLQ
1637,ADLL,AVDR,EJ,1,ADL,AVD
200,ADLL,ADLR,EJ,1,ADL,ADL
173,ADLR,ADLL,EJ,1,ADL,ADL
381,AFDR,AIBR,EJ,1,AFD,AIB
326,AFDL,AIBL,EJ,1,AFD,AIB
233,AFDL,AFDR,EJ,1,AFD,AFD
223,AFDR,AFDL,EJ,1,AFD,AFD
2225,AIAR,AWAR,EJ,1,AIA,AWA
2209,AIAL,AWAL,EJ,1,AIA,AWA
958,AIAR,ASIR,EJ,2,AIA,ASI
944,AIAL,ASIL,EJ,2,AIA,ASI
288,AIAL,AIAR,EJ,1,AIA,AIA
248,AIAR,AIAL,EJ,1,AIA,AIA
148,AIAR,ADFR,EJ,1,AIA,ADF
4761,AIBR,RIVR,EJ,1,AIB,RIV
4744,AIBL,RIVL,EJ,1,AIB,RIV
4719,AIBR,RIS,EJ,1,AIB,RIS
4605,AIBL,RIMR,EJ,1,AIB,RIM
4559,AIBR,RIML,EJ,1,AIB,RIM
4481,AIBL,RIGR,EJ,3,AIB,RIG
4443,AIBR,RIGL,EJ,3,AIB,RIG
4038,AIBR,PVT,EJ,1,AIB,PVT
4037,AIBL,PVT,EJ,1,AIB,PVT
2937,AIBR,DVC,EJ,2,AIB,DVC
2936,AIBL,DVC,EJ,1,AIB,DVC
2655,AIBR,DB1,EJ,1,AIB,DB
234,AIBR,AFDR,EJ,1,AIB,AFD
224,AIBL,AFDL,EJ,1,AIB,AFD
5286,AIML,SIBDR,EJ,1,AIM,SIB
1032,AINL,AUAR,EJ,1,AIN,AUA
1012,AINR,AUAL,EJ,1,AIN,AUA
877,AINL,ASGR,EJ,1,AIN,ASG
865,AINR,ASGL,EJ,1,AIN,ASG
484,AINL,AINR,EJ,2,AIN,AIN
468,AINR,AINL,EJ,2,AIN,AIN
58,AINL,ADEL,EJ,1,AIN,ADE
4606,AIYR,RIMR,EJ,1,AIY,RIM
4560,AIYL,RIML,EJ,1,AIY,RIM
523,AIYL,AIYR,EJ,1,AIY,AIY
497,AIYR,AIYL,EJ,1,AIY,AIY
2226,AIZR,AWAR,EJ,1,AIZ,AWA
918,AIZR,ASHR,EJ,1,AIZ,ASH
891,AIZL,ASHL,EJ,1,AIZ,ASH
878,AIZR,ASGR,EJ,1,AIZ,ASG
866,AIZL,ASGL,EJ,1,AIZ,ASG
582,AIZL,AIZR,EJ,2,AIZ,AIZ
549,AIZR,AIZL,EJ,2,AIZ,AIZ
4372,ALA,RID,EJ,1,ALA,RID
4014,ALML,PVR,EJ,1,ALM,PVR
2184,ALMR,AVM,EJ,1,ALM,AVM
2183,ALML,AVM,EJ,1,ALM,AVM
5339,ALNL,SMBDR,EJ,1,ALN,SMB
4482,AQR,RIGR,EJ,1,AQR,RIG
4444,AQR,RIGL,EJ,2,AQR,RIG
3926,AQR,PVPR,EJ,9,AQR,PVP
3891,AQR,PVPL,EJ,7,AQR,PVP
2118,AQR,AVKR,EJ,1,AQR,AVK
2076,AQR,AVKL,EJ,2,AQR,AVK
1392,AQR,AVBL,EJ,1,AQR,AVB
6133,AS1,VD2,EJ,1,AS,VD_DD
5740,AS6,VA8,EJ,1,AS,VA
5730,AS5,VA7,EJ,1,AS,VA
5709,AS3,VA5,EJ,2,AS,VA
5692,AS2,VA4,EJ,2,AS,VA
5676,AS1,VA3,EJ,1,AS,VA
3444,AS11,PDB,EJ,2,AS,PDB
2918,AS9,DVB,EJ,7,AS,DVB
2595,AS6,DA5,EJ,2,AS,DA
2559,AS4,DA3,EJ,1,AS,DA
